group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,72,72,0,1,4,62,134
2,4,85,85,0,2,4,57,142
3,6,90,90,0,4,6,79,169
5,3,95,95,0,3,4,63,158
4,5,95,95,0,5,6,79,174
6,4,100,100,0,6,6,68,168
7,3,103,103,0,7,6,62,165
8,4,113,113,0,8,6,70,183
10,3,123,134,11,1,4,56,190
12,4,130,142,12,2,4,69,211
13,3,147,158,11,3,4,64,222
9,6,120,165,45,7,6,69,234
16,5,160,168,8,6,6,63,231
17,5,160,169,9,4,6,62,231
14,3,150,174,24,5,6,63,237
18,3,164,183,19,8,6,64,247
19,4,164,190,26,1,4,71,261
20,4,167,211,44,2,4,70,281
22,3,189,222,33,3,4,54,276
23,4,195,231,36,4,6,57,288
25,4,205,231,26,6,6,72,303
26,3,214,234,20,7,6,64,298
28,4,225,237,12,5,6,72,309
29,3,230,247,17,8,6,53,300
11,2,130,261,131,1,4,58,319
32,4,268,276,8,3,4,68,344
33,4,280,281,1,2,4,58,339
34,6,288,288,0,4,6,72,360
36,6,297,298,1,7,6,78,376
35,3,291,300,9,8,6,52,352
15,2,150,303,153,6,6,45,348
21,2,183,309,126,5,6,56,365
24,2,200,319,119,1,4,58,377
27,2,223,339,116,2,4,53,392
30,2,243,344,101,3,4,58,402
31,2,260,348,88,6,6,49,397
