group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,0,0,0,3,4,39,39
2,4,7,7,0,4,4,48,55
3,4,9,9,0,5,4,45,54
4,5,14,14,0,6,6,49,63
5,4,16,16,0,7,6,41,57
6,6,27,27,0,8,8,51,78
7,3,28,28,0,9,8,43,71
8,4,32,32,0,10,8,44,76
11,4,50,50,0,3,4,45,95
12,3,54,54,0,5,4,40,94
9,5,41,57,16,7,6,43,100
14,4,63,63,0,4,4,46,109
10,6,45,63,18,6,6,54,117
13,5,57,71,14,9,8,43,114
15,6,70,76,6,10,8,53,129
17,5,76,78,2,8,8,46,124
16,4,70,94,24,5,4,41,135
18,3,81,95,14,3,4,40,135
20,6,91,100,9,7,6,57,157
19,4,89,109,20,4,4,48,157
21,5,96,114,18,9,8,53,167
24,6,110,117,7,6,6,54,171
26,5,116,124,8,8,8,50,174
28,6,126,129,3,10,8,54,183
22,4,100,135,35,3,4,46,181
23,3,103,135,32,5,4,36,171
25,4,114,157,43,4,4,43,200
31,5,141,157,16,7,6,43,200
33,6,151,167,16,9,8,51,218
27,4,125,171,46,5,4,40,211
36,5,167,171,4,6,6,50,221
38,6,174,174,0,8,8,52,226
29,3,131,181,50,3,4,40,221
39,5,183,183,0,10,8,43,226
30,4,140,200,60,4,4,48,248
42,6,197,200,3,7,6,49,249
32,4,144,211,67,5,4,46,257
34,3,154,218,64,9,8,37,255
35,4,160,221,61,3,4,45,266
37,4,170,221,51,6,6,45,266
40,4,188,226,38,8,8,40,266
41,3,190,226,36,10,8,43,269
