group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,5,5,0,2,4,92,97
2,5,12,12,0,5,6,71,83
3,2,17,17,0,1,2,51,68
4,4,19,19,0,3,4,73,92
5,5,20,20,0,6,6,64,84
6,2,26,26,0,4,4,53,79
7,1,38,38,0,7,8,35,73
8,1,56,68,12,1,2,67,135
9,3,59,73,14,7,8,51,124
10,4,68,79,11,4,4,72,151
14,2,99,99,0,2,4,41,140
16,4,113,113,0,3,4,72,185
11,8,77,124,47,7,8,96,220
12,5,86,124,38,5,6,77,201
13,5,94,124,30,6,6,84,208
18,4,125,140,15,2,4,77,217
21,3,139,151,12,4,4,70,221
23,2,156,156,0,1,2,45,201
22,3,143,185,42,3,4,60,245
26,2,177,201,24,1,2,76,277
15,5,111,201,90,5,6,88,289
17,5,117,208,91,6,6,84,292
25,3,176,217,41,2,4,83,300
19,5,136,220,84,7,8,69,289
27,4,178,221,43,4,4,54,275
28,4,181,245,64,3,4,69,314
29,4,182,275,93,4,4,48,323
34,2,228,277,49,1,2,49,326
20,5,138,289,151,5,6,79,368
24,6,161,289,128,7,8,80,369
30,6,195,292,97,6,6,78,370
32,4,209,300,91,2,4,59,359
33,3,227,314,87,3,4,70,384
35,2,233,323,90,4,4,51,374
36,2,237,326,89,1,2,46,372
31,5,199,368,169,5,6,59,427
37,5,239,369,130,7,8,106,475
