group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,3,2,2,0,2,4,44,46
2,1,4,4,0,1,2,54,58
3,7,5,5,0,7,8,85,90
4,2,11,11,0,3,4,45,56
5,1,15,15,0,4,4,24,39
6,3,17,17,0,5,6,71,88
7,4,20,20,0,6,6,81,101
11,4,39,39,0,4,4,54,93
13,3,50,50,0,2,4,68,118
14,2,68,68,0,1,2,60,128
8,5,25,88,63,5,6,92,180
20,3,90,90,0,3,4,83,173
9,6,35,90,55,7,8,68,158
22,2,101,101,0,4,4,50,151
10,5,37,101,64,6,6,102,203
23,4,106,118,12,2,4,76,194
25,2,112,128,16,1,2,72,200
28,3,131,151,20,4,4,62,213
12,5,47,158,111,7,8,54,212
29,3,134,173,39,3,4,57,230
15,5,73,180,107,5,6,76,256
35,3,150,194,44,2,4,69,263
26,2,122,200,78,1,2,44,244
16,5,75,203,128,6,6,76,279
17,5,80,212,132,7,8,96,308
36,3,151,213,62,4,4,99,312
39,4,161,230,69,3,4,50,280
32,2,143,244,101,1,2,56,300
18,6,85,256,171,5,6,96,352
40,4,162,263,101,2,4,71,334
19,5,89,279,190,6,6,89,368
42,3,169,280,111,3,4,69,349
34,1,148,300,152,1,2,58,358
21,7,94,308,214,7,8,82,390
43,4,170,312,142,4,4,63,375
47,4,181,334,153,2,4,64,398
48,4,182,349,167,3,4,74,423
24,6,109,352,243,5,6,80,432
37,2,157,358,201,1,2,57,415
50,4,190,368,178,6,6,79,447
51,4,191,375,184,4,4,67,442
27,7,129,390,261,7,8,107,497
52,3,192,398,206,2,4,56,454
38,2,159,415,256,1,2,42,457
56,3,202,423,221,3,4,69,492
30,6,137,432,295,5,6,79,511
58,4,204,442,238,4,4,72,514
31,6,139,447,308,6,6,99,546
59,3,205,454,249,2,4,38,492
41,2,168,457,289,1,2,42,499
64,4,215,492,277,2,4,72,564
69,4,225,492,267,3,4,66,558
33,5,144,497,353,7,8,74,571
46,1,174,499,325,1,2,58,557
44,6,171,511,340,5,6,86,597
72,4,237,514,277,4,4,73,587
45,6,173,546,373,6,6,85,631
49,1,189,557,368,1,2,50,607
53,2,193,558,365,3,4,67,625
55,2,195,564,369,2,4,40,604
54,5,194,571,377,7,8,74,645
60,2,208,587,379,4,4,55,642
57,6,203,597,394,5,6,113,710
63,2,214,604,390,2,4,48,652
68,2,224,607,383,1,2,81,688
61,5,209,631,422,6,6,63,694
62,5,212,645,433,7,8,106,751
65,5,219,694,475,6,6,84,778
66,6,221,710,489,5,6,86,796
67,5,223,751,528,7,8,82,833
70,5,229,778,549,6,6,70,848
71,5,230,796,566,5,6,59,855
