group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,2,20,20
2,2,1,1,0,2,2,16,17
3,2,2,2,0,3,2,12,14
4,3,4,4,0,5,4,26,30
5,1,7,7,0,4,2,16,23
6,2,9,9,0,6,4,18,27
7,2,13,13,0,7,6,17,30
8,3,25,27,2,6,4,31,58
10,2,29,29,0,1,2,30,59
11,2,30,30,0,2,2,26,56
9,4,27,30,3,5,4,33,63
12,2,31,31,0,3,2,26,57
13,2,33,33,0,4,2,24,57
14,1,37,37,0,7,6,18,55
15,1,41,55,14,7,6,16,71
16,2,45,56,11,2,2,16,72
17,1,46,57,11,3,2,25,82
18,2,50,57,7,4,2,23,80
19,1,51,58,7,6,4,18,76
20,2,54,59,5,1,2,22,81
21,2,55,63,8,5,4,16,79
27,5,68,71,3,7,6,41,112
22,1,62,72,10,2,2,19,91
29,4,74,76,2,6,4,32,108
30,3,79,79,0,5,4,33,112
23,1,63,80,17,4,2,24,104
24,2,64,81,17,1,2,22,103
25,2,67,82,15,3,2,15,97
26,2,68,91,23,2,2,25,116
28,2,71,97,26,3,2,25,122
31,1,82,103,21,1,2,24,127
33,1,88,104,16,4,2,16,120
32,3,82,108,26,6,4,37,145
37,4,97,112,15,5,4,25,137
44,4,108,112,4,7,6,27,139
34,2,89,116,27,2,2,23,139
35,2,89,120,31,4,2,29,149
36,2,95,122,27,3,2,27,149
38,2,98,127,29,1,2,34,161
46,4,111,137,26,5,4,26,163
39,2,98,139,41,2,2,16,155
50,3,124,139,15,7,6,30,169
53,3,131,145,14,6,4,24,169
40,2,99,149,50,3,2,18,167
41,2,102,149,47,4,2,21,170
42,1,104,155,51,2,2,26,181
43,1,105,161,56,1,2,19,180
54,4,137,163,26,5,4,34,197
45,1,109,167,58,3,2,25,192
56,4,139,169,30,6,4,20,189
57,4,144,169,25,7,6,37,206
47,2,114,170,56,4,2,12,182
48,2,116,180,64,1,2,33,213
49,2,122,181,59,2,2,18,199
51,2,128,182,54,4,2,29,211
58,4,147,189,42,6,4,27,216
52,1,129,192,63,3,2,31,223
64,3,164,197,33,5,4,20,217
55,2,138,199,61,2,2,24,223
59,1,148,206,58,7,6,12,218
60,1,154,211,57,4,2,23,234
61,1,156,213,57,1,2,31,244
62,1,157,216,59,6,4,24,240
63,2,158,217,59,5,4,19,236
65,1,164,218,54,7,6,16,234
66,2,168,223,55,2,2,21,244
67,2,172,223,51,3,2,22,245
68,1,174,234,60,4,2,18,252
69,2,176,234,58,7,6,15,249
70,1,178,236,58,5,4,25,261
71,2,179,240,61,6,4,18,258
