group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,1,2,18,18
2,1,2,2,0,2,2,16,18
3,3,4,4,0,4,4,22,26
4,2,6,6,0,3,2,19,25
5,4,8,8,0,5,4,25,33
6,2,10,10,0,6,4,18,28
7,1,12,18,6,1,2,15,33
10,2,18,18,0,2,2,19,37
11,1,21,25,4,3,2,15,40
8,3,14,26,12,4,4,22,48
9,4,16,28,12,6,4,26,54
13,2,27,33,6,1,2,18,51
12,3,24,33,9,5,4,23,56
15,2,33,37,4,2,2,19,56
16,1,36,40,4,3,2,16,56
14,4,30,48,18,4,4,25,73
18,2,42,51,9,1,2,18,69
17,3,39,54,15,6,4,22,76
20,1,48,56,8,2,2,15,71
21,2,51,56,5,3,2,18,74
19,4,45,56,11,5,4,24,80
23,2,57,69,12,1,2,18,87
24,1,60,71,11,2,2,15,86
22,3,54,73,19,4,4,22,95
