group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
2,2,0,0,0,1,2,18,18
1,3,0,0,0,6,4,28,28
3,3,5,5,0,7,4,31,36
4,1,20,20,0,1,2,16,36
5,2,20,20,0,2,2,19,39
6,2,20,20,0,3,2,17,37
7,1,20,20,0,4,2,16,36
8,1,22,22,0,5,2,22,44
9,2,24,24,0,8,4,26,50
10,2,25,25,0,9,4,17,42
11,1,39,39,0,1,2,22,61
12,2,45,45,0,2,2,17,62
13,2,50,50,0,3,2,20,70
14,2,52,52,0,4,2,19,71
15,1,53,53,0,5,2,18,71
16,2,59,59,0,6,4,25,84
17,1,60,60,0,7,4,20,80
18,3,61,61,0,8,4,21,82
19,3,63,63,0,9,4,26,89
20,2,64,64,0,1,2,18,82
21,1,64,64,0,2,2,18,82
22,2,65,70,5,3,2,23,93
24,2,66,71,5,4,2,27,98
25,2,70,71,1,5,2,25,96
23,4,65,80,15,7,4,32,112
26,2,70,82,12,1,2,24,106
27,2,73,82,9,2,2,26,108
32,4,80,82,2,8,4,26,108
28,1,75,84,9,6,4,17,101
29,1,75,89,14,9,4,20,109
30,1,75,93,18,3,2,23,116
31,2,76,96,20,5,2,27,123
33,1,81,98,17,4,2,16,114
39,4,94,101,7,6,4,30,131
34,2,83,106,23,1,2,22,128
35,2,83,108,25,2,2,21,129
40,3,95,108,13,8,4,29,137
44,4,109,109,0,9,4,26,135
36,2,90,112,22,7,4,17,129
37,2,90,114,24,4,2,22,136
38,2,91,116,25,3,2,18,134
41,2,100,123,23,5,2,21,144
42,2,103,128,25,1,2,17,145
43,2,105,129,24,2,2,19,148
45,1,115,129,14,7,4,20,149
46,1,116,131,15,6,4,21,152
47,1,120,134,14,3,2,20,154
48,2,125,135,10,9,4,22,157
49,2,125,136,11,4,2,26,162
50,2,126,137,11,8,4,25,162
51,1,126,144,18,5,2,22,166
52,2,129,145,16,1,2,24,169
53,1,129,148,19,2,2,22,170
57,3,145,149,4,7,4,25,174
58,4,145,152,7,6,4,31,183
54,2,130,154,24,3,2,20,174
60,3,152,157,5,9,4,26,183
55,1,133,162,29,4,2,22,184
56,2,135,162,27,8,4,17,179
59,1,150,166,16,5,2,16,182
61,2,160,169,9,1,2,21,190
62,1,163,170,7,2,2,16,186
63,2,165,174,9,3,2,26,200
64,4,167,174,7,7,4,29,203
65,2,170,179,9,8,4,21,200
66,2,178,182,4,5,2,17,199
67,2,180,183,3,6,4,23,206
68,2,183,183,0,9,4,23,206
71,2,190,190,0,1,2,22,212
72,1,190,190,0,2,2,21,211
73,2,190,190,0,4,2,19,209
74,2,194,199,5,5,2,25,224
75,2,198,200,2,3,2,24,224
69,4,187,200,13,8,4,30,230
70,3,188,203,15,7,4,25,228
76,2,200,206,6,6,4,24,230
77,2,200,206,6,9,4,21,227
78,2,208,209,1,4,2,23,232
79,1,212,212,0,1,2,20,232
80,1,215,215,0,2,2,18,233
82,1,225,225,0,3,2,21,246
81,4,215,227,12,9,4,34,261
83,3,227,228,1,7,4,23,251
84,2,230,230,0,5,2,23,253
85,1,237,237,0,1,2,21,258
86,1,237,237,0,2,2,22,259
87,2,240,240,0,4,2,23,263
88,1,244,244,0,6,4,20,264
89,2,245,245,0,8,4,17,262
90,3,248,251,3,7,4,28,279
92,2,255,255,0,3,2,17,272
93,2,255,255,0,5,2,21,276
94,1,260,260,0,1,2,20,280
95,2,261,261,0,2,2,27,288
91,3,249,261,12,9,4,25,286
96,3,265,265,0,6,4,24,289
97,2,280,280,0,1,2,23,303
98,1,282,282,0,3,2,15,297
99,2,295,295,0,2,2,22,317
100,1,295,295,0,4,2,21,316
