group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,20,20,0,1,4,67,87
2,5,20,20,0,7,6,78,98
3,4,28,28,0,2,4,75,103
4,4,59,59,0,3,4,68,127
5,4,65,65,0,4,4,66,131
6,3,80,80,0,5,4,62,142
7,4,83,83,0,6,4,67,150
8,3,83,83,0,8,6,67,150
9,3,87,87,0,1,4,55,142
10,4,95,95,0,9,6,60,155
11,4,95,98,3,7,6,62,160
12,2,100,103,3,2,4,56,159
13,3,107,127,20,3,4,60,187
16,4,145,145,0,1,4,68,213
17,4,150,150,0,4,4,74,224
14,5,134,150,16,8,6,75,225
15,6,140,155,15,9,6,79,234
19,3,160,160,0,2,4,70,230
18,5,155,160,5,7,6,84,244
20,4,165,165,0,5,4,73,238
21,4,168,168,0,6,4,60,228
23,3,175,187,12,3,4,67,254
24,4,180,213,33,1,4,71,284
25,4,185,224,39,4,4,58,282
27,6,195,225,30,8,6,91,316
26,3,185,228,43,6,4,65,293
29,4,225,230,5,2,4,73,303
30,5,230,234,4,9,6,82,316
22,2,171,238,67,5,4,52,290
32,6,235,244,9,7,6,90,334
33,4,245,254,9,3,4,67,321
35,4,270,282,12,4,4,70,352
36,3,280,284,4,1,4,67,351
37,4,283,290,7,5,4,72,362
28,2,216,293,77,6,4,56,349
31,2,231,303,72,2,4,53,356
34,2,247,316,69,8,6,54,370
