group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,4,20,20,0,1,4,67,87
2,5,20,20,0,4,6,78,98
3,4,28,28,0,2,4,75,103
4,4,59,59,0,3,4,68,127
5,4,65,65,0,5,6,66,131
6,3,80,80,0,6,6,62,142
7,4,83,83,0,7,6,67,150
8,3,83,83,0,8,6,67,150
9,3,87,87,0,1,4,55,142
10,4,95,98,3,4,6,60,158
11,4,95,103,8,2,4,62,165
13,3,107,127,20,3,4,60,187
12,2,100,131,31,5,6,56,187
14,5,134,142,8,6,6,75,217
16,4,145,145,0,1,4,68,213
15,6,140,150,10,7,6,79,229
17,4,150,150,0,8,6,74,224
18,5,155,158,3,4,6,84,242
19,3,160,165,5,2,4,70,235
20,4,165,187,22,3,4,73,260
21,4,168,187,19,5,6,60,247
23,3,175,213,38,1,4,67,280
27,6,195,217,22,6,6,91,308
24,4,180,224,44,8,6,71,295
25,4,185,229,44,7,6,58,287
26,3,185,235,50,2,4,65,300
30,5,230,242,12,4,6,82,324
32,6,235,247,12,5,6,90,337
29,4,225,260,35,3,4,73,333
33,4,245,280,35,1,4,67,347
35,4,270,287,17,7,6,70,357
36,3,280,295,15,8,6,67,362
37,4,283,300,17,2,4,72,372
22,2,171,308,137,6,6,52,360
28,2,216,324,108,4,6,56,380
31,2,231,333,102,3,4,53,386
34,2,247,337,90,5,6,54,391
