group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,2,2,0,1,2,20,22
2,2,3,3,0,2,4,27,30
3,2,9,9,0,3,4,24,33
4,1,11,11,0,4,4,26,37
5,2,15,15,0,5,4,24,39
6,3,16,16,0,6,6,32,48
7,2,23,23,0,1,2,26,49
9,4,30,30,0,2,4,30,60
8,1,24,33,9,3,4,24,57
10,2,31,37,6,4,4,30,67
11,2,35,39,4,5,4,30,69
13,3,41,48,7,6,6,28,76
12,1,40,49,9,1,2,26,75
16,4,51,57,6,3,4,33,90
14,2,46,60,14,2,4,28,88
20,3,65,67,2,4,4,26,93
15,2,50,69,19,5,4,29,98
17,1,56,75,19,1,2,26,101
18,2,59,76,17,6,6,24,100
23,4,77,88,11,2,4,38,126
26,3,88,90,2,3,4,34,124
19,2,62,93,31,4,4,23,116
21,2,71,98,27,5,4,24,122
22,1,76,100,24,6,6,25,125
24,2,80,101,21,1,2,25,126
30,4,101,116,15,4,4,37,153
31,3,103,122,19,5,4,27,149
36,3,121,124,3,3,4,29,153
25,2,85,125,40,6,6,30,155
27,1,90,126,36,1,2,20,146
28,2,96,126,30,2,4,29,155
29,2,99,146,47,1,2,28,174
37,4,128,149,21,5,4,38,187
41,3,141,153,12,3,4,28,181
32,2,110,153,43,4,4,25,178
45,3,155,155,0,2,4,27,182
33,1,113,155,42,6,6,19,174
34,2,116,174,58,1,2,27,201
46,4,159,174,15,6,6,33,207
35,2,118,178,60,4,4,28,206
38,2,130,181,51,3,4,28,209
39,1,133,182,49,2,4,24,206
40,2,138,187,49,5,4,28,215
42,2,143,201,58,1,2,24,225
43,1,148,206,58,2,4,23,229
44,2,149,206,57,4,4,25,231
47,2,159,207,48,6,6,26,233
48,2,166,209,43,3,4,28,237
