group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,2,2,0,1,2,20,22
2,2,3,3,0,2,2,27,30
3,2,9,9,0,3,2,24,33
4,1,11,11,0,4,2,26,37
5,2,15,15,0,5,4,24,39
6,3,16,16,0,6,4,32,48
7,2,23,23,0,1,2,26,49
8,1,24,24,0,7,6,24,48
10,2,31,31,0,2,2,30,61
11,2,35,35,0,3,2,30,65
9,4,30,39,9,5,4,30,69
12,1,40,40,0,4,2,26,66
13,3,41,48,7,6,4,28,76
14,2,46,48,2,7,6,28,76
15,2,50,50,0,1,2,29,79
17,1,56,61,5,2,2,26,87
18,2,59,65,6,3,2,24,89
19,2,62,66,4,4,2,23,89
16,4,51,69,18,5,4,33,102
20,3,65,76,11,6,4,26,102
21,2,71,76,5,7,6,24,100
22,1,76,79,3,1,2,25,104
24,2,80,87,7,2,2,25,112
25,2,85,89,4,3,2,30,119
27,1,90,90,0,4,2,20,110
23,4,77,100,23,7,6,38,138
26,3,88,102,14,5,4,34,136
30,4,101,102,1,6,4,37,139
28,2,96,104,8,1,2,29,133
29,2,99,110,11,4,2,28,138
32,2,110,112,2,2,2,25,137
33,1,113,119,6,3,2,19,138
34,2,116,133,17,1,2,27,160
31,3,103,136,33,5,4,27,163
35,2,118,137,19,2,2,28,165
38,2,130,138,8,3,2,28,166
39,1,133,138,5,4,2,24,162
36,3,121,138,17,7,6,29,167
37,4,128,139,11,6,4,38,177
40,2,138,160,22,1,2,28,188
42,2,143,162,19,4,2,24,186
41,3,141,163,22,5,4,28,191
43,1,148,165,17,2,2,23,188
44,2,149,166,17,3,2,25,191
45,3,155,167,12,7,6,27,194
46,4,159,177,18,6,4,33,210
47,2,159,186,27,4,2,26,212
48,2,166,188,22,1,2,28,216
