group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,1,2,36,36
2,2,3,3,0,2,2,36,39
3,1,6,6,0,3,4,31,37
4,3,9,9,0,4,4,39,48
5,2,16,16,0,5,4,35,51
6,4,20,20,0,6,6,41,61
7,2,21,21,0,7,6,28,49
8,1,27,27,0,8,8,29,56
10,2,33,36,3,1,2,31,67
9,3,30,37,7,3,4,39,76
11,2,34,39,5,2,2,36,75
12,4,40,48,8,4,4,44,92
15,3,48,49,1,7,6,34,83
13,1,43,51,8,5,4,28,79
14,2,47,56,9,8,8,38,94
17,5,58,61,3,6,6,53,114
16,2,53,67,14,1,2,38,105
18,2,61,75,14,2,2,36,111
20,3,68,76,8,3,4,43,119
23,4,76,79,3,5,4,40,119
19,1,62,83,21,7,6,23,106
26,3,86,92,6,4,4,43,135
21,2,69,94,25,8,8,31,125
22,2,75,105,30,1,2,37,142
28,5,96,106,10,7,6,44,150
24,2,82,111,29,2,2,36,147
31,3,104,114,10,6,6,40,154
33,4,112,119,7,3,4,46,165
25,1,84,119,35,5,4,23,142
36,3,122,125,3,8,8,43,168
39,4,131,135,4,4,4,39,174
27,2,93,142,49,1,2,36,178
41,3,142,142,0,5,4,37,179
29,2,98,147,49,2,2,33,180
43,5,149,150,1,7,6,49,199
30,1,100,154,54,6,6,29,183
47,3,161,165,4,3,4,41,206
48,4,164,168,4,8,8,44,212
32,2,108,174,66,4,4,32,206
34,2,115,178,63,1,2,35,213
51,3,176,179,3,5,4,35,214
35,1,118,180,62,2,2,29,209
50,5,170,183,13,6,6,46,229
53,4,182,199,17,7,6,41,240
56,3,191,206,15,3,4,40,246
57,4,195,206,11,4,4,44,250
37,2,128,209,81,2,2,32,241
38,2,130,212,82,8,8,30,242
40,1,136,213,77,1,2,23,236
42,2,144,214,70,5,4,31,245
44,2,150,229,79,6,6,32,261
45,1,152,236,84,1,2,26,262
46,2,158,240,82,7,6,32,272
49,2,168,241,73,2,2,38,279
52,2,178,242,64,8,8,28,270
54,1,188,245,57,5,4,23,268
55,2,188,246,58,3,4,28,274
58,2,201,250,49,4,4,29,279
