group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,2,2,0,1,2,51,53
2,4,4,4,0,2,4,58,62
3,2,13,13,0,3,4,46,59
4,3,15,15,0,4,4,57,72
5,4,19,19,0,5,6,55,74
6,5,29,29,0,6,6,66,95
7,2,35,35,0,7,8,44,79
8,4,37,37,0,8,8,59,96
9,6,42,42,0,9,8,75,117
11,2,53,53,0,1,2,45,98
10,3,49,59,10,3,4,48,107
12,4,57,62,5,2,4,63,125
14,2,69,72,3,4,4,48,120
13,5,66,74,8,5,6,63,137
15,3,74,79,5,7,8,52,131
17,6,88,95,7,6,6,71,166
16,4,80,96,16,8,8,60,156
18,2,91,98,7,1,2,45,143
19,4,94,107,13,3,4,58,165
20,5,101,117,16,9,8,61,178
21,3,107,120,13,4,4,53,173
23,4,121,125,4,2,4,57,182
24,6,122,131,9,7,8,70,201
25,3,127,137,10,5,6,55,192
22,2,110,143,33,1,2,46,189
27,5,140,156,16,8,8,57,213
26,4,132,165,33,3,4,58,223
31,6,161,166,5,6,6,66,232
29,3,152,173,21,4,4,53,226
34,5,177,178,1,9,8,60,238
30,4,153,182,29,2,4,59,241
28,2,148,189,41,1,2,55,244
33,4,170,192,22,5,6,61,253
38,6,201,201,0,7,8,75,276
39,5,202,213,11,8,8,67,280
35,3,181,223,42,3,4,53,276
36,4,187,226,39,4,4,55,281
40,4,211,232,21,6,6,62,294
41,3,212,238,26,9,8,51,289
32,2,164,241,77,2,4,56,297
37,2,190,244,54,1,2,47,291
42,2,218,253,35,5,6,52,305
