group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,2,2,0,1,2,38,40
2,4,4,4,0,2,4,45,49
3,2,13,13,0,3,4,32,45
4,3,15,15,0,4,4,40,55
5,4,19,19,0,5,6,42,61
6,5,29,29,0,6,6,51,80
7,2,35,35,0,7,8,30,65
8,4,37,37,0,8,8,46,83
9,6,42,42,0,9,8,58,100
10,3,49,49,0,2,4,36,85
11,2,53,53,0,1,2,33,86
12,4,57,57,0,3,4,45,102
13,5,66,66,0,5,6,48,114
14,2,69,69,0,4,4,31,100
15,3,74,74,0,7,8,40,114
16,4,80,80,0,6,6,48,128
17,6,88,88,0,8,8,53,141
18,2,91,91,0,1,2,33,124
19,4,94,94,0,2,4,41,135
20,5,101,101,0,9,8,45,146
21,3,107,107,0,3,4,36,143
22,2,110,110,0,4,4,31,141
23,4,121,121,0,5,6,42,163
24,6,122,122,0,7,8,53,175
25,3,127,128,1,6,6,43,171
26,4,132,135,3,2,4,40,175
27,5,140,141,1,8,8,45,186
28,2,148,148,0,1,2,37,185
29,3,152,152,0,3,4,36,188
30,4,153,153,0,4,4,43,196
31,6,161,161,0,9,8,52,213
32,2,164,164,0,5,6,38,202
33,4,170,171,1,6,6,43,214
34,5,177,177,0,7,8,45,222
35,3,181,181,0,2,4,37,218
36,4,187,187,0,8,8,40,227
37,2,190,190,0,1,2,32,222
38,6,201,202,1,5,6,58,260
40,4,211,211,0,3,4,48,259
41,3,212,212,0,4,4,36,248
39,5,202,213,11,9,8,49,262
42,2,218,218,0,2,4,34,252
