group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,2,0,0,0,4,2,21,21
2,1,5,5,0,1,1,25,30
3,4,8,8,0,8,4,37,45
4,2,22,22,0,4,2,20,42
5,1,22,22,0,2,1,19,41
6,2,30,30,0,5,2,25,55
7,4,35,35,0,9,4,38,73
8,2,36,36,0,6,2,23,59
9,1,40,40,0,1,1,18,58
10,1,40,40,0,3,1,21,61
11,2,53,53,0,4,2,30,83
12,2,57,57,0,5,2,25,82
13,2,60,60,0,6,2,23,83
14,1,64,64,0,1,1,24,88
15,2,65,65,0,7,2,25,90
16,1,70,70,0,2,1,22,92
17,1,70,70,0,3,1,17,87
18,2,73,73,0,8,4,25,98
19,2,79,79,0,9,4,25,104
21,2,90,90,0,4,2,21,111
22,1,95,95,0,1,1,21,116
20,3,86,98,12,8,4,34,132
23,2,100,100,0,5,2,20,120
25,1,100,100,0,2,1,23,123
26,1,101,101,0,3,1,17,118
24,3,100,104,4,9,4,32,136
29,1,109,109,0,6,2,19,128
30,1,125,125,0,1,1,18,143
31,1,125,125,0,2,1,21,146
32,1,125,125,0,3,1,19,144
33,2,126,126,0,4,2,24,150
34,2,128,128,0,5,2,21,149
35,2,130,130,0,6,2,28,158
36,1,131,131,0,7,2,22,153
27,3,104,132,28,8,4,27,159
28,3,104,136,32,9,4,29,165
37,1,135,143,8,1,1,19,162
38,1,135,144,9,3,1,25,169
39,2,144,149,5,5,2,28,177
40,2,144,150,6,4,2,27,177
41,2,146,153,7,7,2,27,180
44,1,155,155,0,2,1,25,180
45,2,156,158,2,6,2,25,183
42,4,147,159,12,8,4,31,190
43,3,153,165,12,9,4,25,190
47,2,160,177,17,4,2,27,204
48,2,164,177,13,5,2,19,196
49,2,164,180,16,7,2,29,209
51,1,167,180,13,1,1,21,201
52,2,168,183,15,6,2,24,207
53,1,168,183,15,2,1,19,202
54,1,170,183,13,3,1,24,207
46,3,160,190,30,8,4,33,223
50,4,165,190,25,9,4,29,219
56,2,170,196,26,5,2,20,216
57,1,170,201,31,1,1,25,226
58,2,171,204,33,4,2,26,230
59,1,171,204,33,2,1,24,228
60,2,175,207,32,6,2,28,235
61,2,180,209,29,7,2,24,233
62,2,180,216,36,5,2,24,240
63,1,186,216,30,3,1,24,240
55,3,170,219,49,9,4,32,251
67,4,200,223,23,8,4,39,262
64,1,190,226,36,1,1,23,249
65,2,199,230,31,4,2,26,256
66,2,200,233,33,7,2,22,255
68,2,200,235,35,6,2,21,256
69,1,205,235,30,2,1,22,257
70,2,205,240,35,5,2,25,265
73,3,216,251,35,9,4,27,278
71,2,210,255,45,7,2,22,277
72,2,215,256,41,4,2,19,275
75,1,225,256,31,1,1,19,275
77,1,232,256,24,3,1,25,281
78,1,233,256,23,6,2,21,277
79,1,235,257,22,2,1,22,279
74,4,223,262,39,8,4,28,290
81,2,235,265,30,5,2,28,293
82,1,236,275,39,1,1,22,297
84,2,250,275,25,4,2,24,299
85,1,250,277,27,6,2,19,296
86,1,265,277,12,7,2,20,297
76,4,230,278,48,9,4,31,309
87,1,271,279,8,2,1,18,297
88,1,275,281,6,3,1,20,301
80,3,235,290,55,8,4,33,323
89,2,281,293,12,5,2,30,323
91,1,285,296,11,6,2,25,321
92,2,285,297,12,7,2,22,319
93,2,286,299,13,4,2,22,321
83,3,239,309,70,9,4,33,342
94,2,288,319,31,7,2,29,348
95,2,294,321,27,4,2,20,341
90,4,283,323,40,8,4,37,360
96,4,298,342,44,9,4,37,379
