group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,0,0,0,1,1,16,16
2,2,2,2,0,2,2,19,21
3,1,4,4,0,3,2,15,19
4,2,6,6,0,5,4,18,24
5,1,8,8,0,6,4,15,23
6,3,10,10,0,7,4,22,32
7,2,13,19,6,3,2,19,38
8,1,16,19,3,1,1,15,34
9,2,19,21,2,2,2,18,39
10,4,22,23,1,6,4,24,47
11,1,25,25,0,5,4,15,40
12,2,28,32,4,7,4,18,50
13,1,31,34,3,1,1,15,49
14,2,34,38,4,3,2,19,57
16,1,40,40,0,2,2,15,55
15,3,37,40,3,5,4,22,62
18,4,46,47,1,6,4,25,72
17,2,43,50,7,7,4,18,68
19,1,49,50,1,1,1,15,65
20,2,52,55,3,2,2,18,73
21,1,55,57,2,3,2,15,72
23,3,61,62,1,5,4,22,84
22,2,58,68,10,7,4,19,87
24,1,64,68,4,1,1,15,83
25,2,67,72,5,3,2,18,90
26,4,70,72,2,6,4,24,96
