restaurant,case_study_title,pair_id,variation,factor_changed,variation_summary,algorithm,scenario_name,avg_wait,max_wait,groups_served,table_utilization,service_level_15,max_queue_length_if_available,config_path,arrivals_path
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,A,table size mix,"Balanced 2, 4, and 6-seat layout",custom,family_dinner_A,32.75,71.0,12,43.86,25.0,7,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,A,table size mix,"Balanced 2, 4, and 6-seat layout",fcfs,family_dinner_A,4.33,25.0,12,63.61,83.33,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,A,table size mix,"Balanced 2, 4, and 6-seat layout",size_queue,family_dinner_A,4.33,25.0,12,63.61,83.33,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_A/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,B,table size mix,Large-table-heavy layout,custom,family_dinner_B,34.5,71.0,12,48.36,16.67,8,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,B,table size mix,Large-table-heavy layout,fcfs,family_dinner_B,6.25,23.0,12,64.78,83.33,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/arrivals.txt
Family Dining,Balanced vs Large-Table-Heavy Layout,family_dinner,B,table size mix,Large-table-heavy layout,size_queue,family_dinner_B,6.25,23.0,12,64.78,83.33,4,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_3_B/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,A,table size mix,Mostly 2-seat tables,custom,cafe_lunch_A,49.33,117.0,12,26.61,0.0,10,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,A,table size mix,Mostly 2-seat tables,fcfs,cafe_lunch_A,10.83,61.0,12,33.64,75.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,A,table size mix,Mostly 2-seat tables,size_queue,cafe_lunch_A,10.83,61.0,12,33.64,75.0,3,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_A/arrivals.txt
Cafe,Two-Seat Heavy vs Mixed Cafe Layout,cafe_lunch,B,table size mix,Mixed 2-seat and 4-seat layout,custom,cafe_lunch_B,44.0,79.0,12,33.64,0.0,10,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/config.txt,/Users/chrlynn/Documents/HKU/SEM2/COMP1110/WokThisWay/pair_4_B/arrivals.txt
